Serial No,GRE Score,TOEFL Score,University Rating, SOP,LOR ,CGPA,Research,Chance of Admit 
1,339,117,3,4.5,4.5,9.57,1,0.9
2,326,111,5,3.5,5.0,9.0,1,0.8
3,315,102,3,2.5,3.0,7.97,1,0.71
4,322,111,3,3.5,3.0,8.63,1,0.8
5,309,98,2,2.0,3.0,8.07,0,0.62
6,328,113,5,5.0,3.5,9.18,1,0.91
7,319,110,3,3.0,3.5,7.99,1,0.73
8,308,102,2,3.5,4.0,7.95,0,0.7
9,301,102,1,1.5,1.5,7.87,0,0.49
10,328,109,3,4.0,3.5,8.72,1,0.52
11,324,107,2,3.0,4.0,8.33,1,0.48
12,330,111,4,4.0,5.0,9.1,1,0.85
13,325,110,4,3.5,4.5,8.74,1,0.73
14,308,111,3,4.5,3.5,8.02,1,0.64
15,306,102,3,3.5,2.0,7.97,1,0.57
16,318,107,3,3.5,2.5,8.48,0,0.57
17,321,107,3,4.0,3.5,8.69,0,0.69
18,314,104,3,4.0,3.0,7.65,1,0.61
19,319,108,3,4.0,3.0,8.76,0,0.61
20,298,101,3,3.5,3.0,8.22,0,0.57
21,316,108,3,3.5,2.0,7.94,1,0.67
22,325,115,4,3.0,2.5,8.58,0,0.72
23,326,116,5,5.0,5.0,9.4,1,0.93
24,331,118,5,5.0,4.5,9.51,1,0.92
25,336,119,5,4.0,3.5,9.77,1,0.97
26,340,120,5,4.5,5.0,9.46,1,0.94
27,319,111,5,4.5,3.5,8.76,0,0.75
28,295,99,3,1.5,2.5,7.59,0,0.44
29,292,95,1,2.0,2.0,7.22,0,0.45
30,309,103,2,2.0,2.5,7.59,0,0.59
31,307,96,2,3.0,3.0,8.37,1,0.69
32,330,102,3,4.0,4.0,8.58,1,0.77
33,339,116,5,2.5,4.5,9.38,1,0.91
34,340,115,5,4.0,4.0,9.52,1,0.9
35,333,112,5,4.0,5.0,9.92,1,0.93
36,320,111,5,5.0,5.0,9.13,1,0.89
37,298,107,2,4.0,4.0,8.58,0,0.65
38,302,104,1,1.0,2.0,7.94,0,0.59
39,305,107,1,3.0,1.5,7.4,0,0.52
40,307,109,2,4.5,4.0,7.68,0,0.49
41,305,110,4,4.0,2.5,7.88,1,0.46
42,317,105,2,2.5,2.5,8.29,0,0.48
43,310,110,3,2.5,2.0,8.48,1,0.54
44,330,116,4,4.5,4.0,8.97,0,0.85
45,326,112,5,4.5,4.0,9.45,1,0.9
46,321,110,5,5.0,4.5,9.05,1,0.87
47,335,116,5,3.5,4.5,9.44,1,0.91
48,340,116,5,4.0,4.5,9.66,0,0.88
49,315,107,3,3.5,5.0,8.56,1,0.76
50,326,110,4,2.5,4.0,8.45,1,0.77
51,316,97,3,2.5,4.5,8.42,1,0.78
52,316,100,3,1.0,3.5,7.94,1,0.58
53,332,119,4,4.0,3.0,8.0,1,0.78
54,327,111,4,4.5,3.0,8.23,1,0.76
55,324,110,3,3.0,3.0,8.03,0,0.71
56,321,101,3,3.0,3.5,7.65,0,0.64
57,321,101,3,2.0,3.0,7.55,0,0.66
58,302,99,3,4.0,2.0,7.86,0,0.52
59,300,99,1,2.5,2.0,6.89,1,0.35
60,314,106,2,2.5,2.5,8.34,0,0.45
61,307,98,2,3.0,3.0,8.12,0,0.46
62,302,101,3,4.5,3.0,8.07,0,0.45
63,300,103,2,3.0,3.0,8.02,1,0.52
64,315,107,2,4.5,3.0,8.63,1,0.58
65,319,109,3,3.0,3.5,8.64,0,0.49
66,329,112,4,4.0,3.5,8.89,0,0.57
67,326,112,3,2.5,2.5,8.98,0,0.6
68,321,107,2,4.0,3.0,8.86,1,0.61
